subject_id,tau_ms,n_windows,n_positive_labels,positive_label_fraction,timing_confidence,notes,pearson,spearman,rmse,mae,brier_score,auc_row_score,auprc_row_score,high_burden_threshold,predicted_high_burden_threshold,auc_high_burden,auprc_high_burden,balanced_accuracy_high_burden,calibration_slope,calibration_intercept
sub-iDpl28,200.0,35798,12648,0.3533158276998715,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.3233140957643488,0.3263743381282849,0.3998465497128156,0.3659011396298202,0.23520141027042174,0.669398397274328,0.547248218502884,0.9046308377867137,0.4773656519280219,0.6842909720326845,0.37525155095583207,0.5990655820588042,1.415235596245102,-0.3581933560729966
sub-jyC0j3,200.0,34640,12915,0.3728348729792148,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.1498028575397415,0.1374615868467334,0.3820510265574259,0.34994542138771684,0.23134713423129405,0.6099108172538243,0.46998868180142594,0.9047533615746087,0.482011557019501,0.6157475475965464,0.2874625751259544,0.5788580688354977,1.1061170581579123,-0.09832935308719187
sub-oLNpHd,200.0,24360,10893,0.4471674876847291,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.23859012368246243,0.23329850733105217,0.38574576811894995,0.3520357299694249,0.23574745258596772,0.6217408363284211,0.5839913834737407,0.9002411993463821,0.4809023884101087,0.6223644015030595,0.4133416475439114,0.5860552970687413,1.3007260519687698,-0.13277836145463032
sub-0cGdk9,500.0,30987,14400,0.46471100784199826,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.12154330540661602,0.12401441456335811,0.3163201659135832,0.27016974821342765,0.2453601113468763,0.5996178901817353,0.5505561823941764,0.7471701148741223,0.47947495772152676,0.5831583458167269,0.337924276551661,0.5178667550934202,0.9374728835828654,0.10103483645551503
sub-2IU8mi,500.0,37666,18159,0.48210587798014126,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.22653996257946193,0.22809271901699762,0.31649721707004536,0.2716281709830364,0.2409026942318242,0.6273077686351911,0.6147540252120147,0.7459737389242327,0.4782146532276481,0.629062820374998,0.41603196800644715,0.5873593136430435,1.5409035301389082,-0.18036142399512337
sub-2IhVOz,500.0,37219,16131,0.4334076681264945,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2687580098528516,0.2669507670348592,0.3170602083533499,0.2703177400936723,0.2374635184755429,0.6338789482080001,0.5741127509761592,0.7474651058781403,0.4730580172767765,0.630802644490898,0.37951409244948153,0.5676802162239056,1.0815466766208217,-0.09064663081302926
sub-6m9kB5,500.0,17836,6177,0.3463220453016371,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.46782082893578936,0.5210331192938746,0.41085967546717744,0.3548522793747221,0.2776820200728754,0.6985051843476744,0.5673494086738439,0.7477315555116121,0.4748589076456601,0.7299313207901201,0.4895063381337867,0.5738074778816412,1.1118499361201923,-0.3108807116897989
sub-8RgPiG,500.0,43690,19407,0.44419775692378116,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2171725858266201,0.2183286840810355,0.3488716918876964,0.3056602317543031,0.23567478742884915,0.6297026546361234,0.5818929212771886,0.744261535390548,0.47559370038492776,0.6183312030965562,0.4337356560415548,0.5936906689409297,1.3314159967870196,-0.15003618827952062
sub-AB2PeX,500.0,42042,19167,0.4559012416155273,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2801473742100214,0.2800433791986052,0.3171148062930571,0.27407694293442414,0.2358153676394007,0.6411833898255797,0.607802829779,0.7464687575283072,0.47828316884185573,0.6543146816471983,0.43915095383666214,0.6064235792025477,1.8593169725697392,-0.3402665032440361
sub-AbzsOg,500.0,50023,25083,0.5014293425024489,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2271756025405914,0.2330640187356568,0.31889386076558596,0.2734656130111856,0.24293405796067535,0.6147451551466613,0.6147190598419814,0.7432837837513082,0.47718464528133825,0.6318835260488784,0.44760268082029675,0.5975505519251603,1.4308992498286064,-0.12657212041175775
