validation_mode,subject_id,model_name,feature_set_name,tau_ms,pearson,spearman,is_subject_best_tau,is_global_train_selected_tau,timing_confidence,notes
LOSO_cross_subject,sub-FIyfdR,class_prior_baseline,none,1500.0,0.08615039026894818,0.03935108209298616,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FYbcap,class_prior_baseline,none,1500.0,0.07419264074881068,0.060782026263616826,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-PuPVlx,class_prior_baseline,none,1500.0,0.09760952544454975,0.09128858731195665,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-QZTsn6,class_prior_baseline,none,1500.0,0.09146430275286965,0.05788821717940652,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-VopvKx,class_prior_baseline,none,1500.0,0.11061909168078556,0.08491170696037317,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-dCsWjQ,class_prior_baseline,none,1500.0,0.09703582739989676,0.036280998621223644,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-gNX5yb,class_prior_baseline,none,1500.0,0.09565484868016955,0.08555312726689425,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-hnetKS,class_prior_baseline,none,1500.0,0.127185286469683,0.1171086208659364,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-i4oK0F,class_prior_baseline,none,1500.0,0.09498596080335543,0.0801396822923701,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-iDpl28,class_prior_baseline,none,1500.0,0.054307621492200635,0.015914393646257376,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-jyC0j3,class_prior_baseline,none,1500.0,0.0781151765177993,0.04629225564719008,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-oLNpHd,class_prior_baseline,none,1500.0,0.08456998314344243,0.08485579292389181,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-0cGdk9,class_prior_baseline,none,3000.0,0.19194300946405465,0.2439837294154481,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IU8mi,class_prior_baseline,none,3000.0,0.16861858273002034,0.10649814483042366,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IhVOz,class_prior_baseline,none,3000.0,0.12877101198819546,0.05754124907492689,False,False,non_definitive_event_matrix,
