row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
aggregate,LOSO_cross_subject,numpy_ridge_fallback,compact_deployable,3000.0,ALL,690088,0.4424600824713707,0.2287065943379265,0.21666004433078168,0.21721715348119947,0.17558914768109574,0.6134611337813909,0.5759812552647352,0.23807825593691895,1.045893671207494,-0.010125946220255018,0.5628798712112866,non_definitive_event_matrix,event_or_candidate_matrix,0.2287065943379265,0.21666004433078168,0.11701083127330644,0.1229299459991405,20,0,1,8,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,compact_deployable,5000.0,ALL,690088,0.4424600824713707,0.2425154943543641,0.21398260906823963,0.19526735066954806,0.15488145598212483,0.6134611337813909,0.5759812552647352,0.23807825593691895,0.916753555060853,0.030938394761249696,0.5528217688808463,non_definitive_event_matrix,event_or_candidate_matrix,0.2425154943543641,0.21398260906823963,0.12600126953827023,0.15057890151438402,20,0,1,9,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,200.0,ALL,690088,0.4424600824713707,0.23661147893712037,0.19460469536566716,0.38313256443943566,0.34371157215072756,0.6341058765492056,0.6239524684828461,0.2345890124797838,1.195793620074834,-0.02458602596481546,0.5898841877071959,non_definitive_event_matrix,event_or_candidate_matrix,0.23661147893712037,0.19460469536566716,0.10599245108438296,0.10652202231988572,20,0,0,10,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,500.0,ALL,690088,0.4424600824713707,0.1916594718977811,0.18133206661712065,0.3231943196825866,0.27353169726219173,0.6341058765492056,0.6239524684828461,0.2345890124797838,1.0486974244513194,0.036046375889173976,0.5709900261279774,non_definitive_event_matrix,event_or_candidate_matrix,0.1916594718977811,0.18133206661712065,0.1360382710711849,0.12177124951877431,20,0,0,11,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,800.0,ALL,690088,0.4424600824713707,0.16900278513105732,0.16607316730418628,0.2958756412094975,0.24614346431565093,0.6341058765492056,0.6239524684828461,0.2345890124797838,0.977428181914949,0.06777058908141859,0.5591595264655019,non_definitive_event_matrix,event_or_candidate_matrix,0.16900278513105732,0.16607316730418628,0.15464921895108782,0.13596975575838588,20,0,0,13,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,1500.0,ALL,690088,0.4424600824713707,0.14566672808757936,0.1412253665546097,0.26075044586462415,0.21352818222301123,0.6341058765492056,0.6239524684828461,0.2345890124797838,0.8464916425788629,0.10551677482933558,0.5382082083735427,non_definitive_event_matrix,event_or_candidate_matrix,0.14566672808757936,0.1412253665546097,0.16499964233317532,0.13158962494149476,20,0,0,17,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,3000.0,ALL,690088,0.4424600824713707,0.14726732791969138,0.12215758047925024,0.2249759817559946,0.18026920997320928,0.6341058765492056,0.6239524684828461,0.2345890124797838,0.7172801631327477,0.12700462407455854,0.5191217335095409,non_definitive_event_matrix,event_or_candidate_matrix,0.14726732791969138,0.12215758047925024,0.17474715543210265,0.12592719466819602,20,0,0,18,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,5000.0,ALL,690088,0.4424600824713707,0.18057065954122747,0.11770262307203885,0.20325357994445503,0.16002808626041193,0.6341058765492056,0.6239524684828461,0.2345890124797838,0.6900684745882324,0.12815131481406533,0.5123675967605055,non_definitive_event_matrix,event_or_candidate_matrix,0.18057065954122747,0.11770262307203885,0.17638966592152713,0.1575078625540539,20,0,0,18,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_ridge_or_sgd,all_allowed_phase6a0,200.0,ALL,690088,0.4424600824713707,0.8578298242422082,0.8444838238882553,0.2033275865992361,0.11752344500542769,0.9776715122080117,0.9766583435841132,0.058679543189722363,1.0119084685410014,-0.01057431970638096,0.8212605837871017,non_definitive_event_matrix,event_or_candidate_matrix,0.8578298242422082,0.8444838238882553,0.0554662744615706,0.060134845287011185,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_ridge_or_sgd,all_allowed_phase6a0,500.0,ALL,690088,0.4424600824713707,0.8603206822894904,0.8554707600911584,0.16894151090670625,0.105043300214865,0.9776715122080117,0.9766583435841132,0.058679543189722363,1.0294964090017868,-0.016072967381240245,0.8392469647242214,non_definitive_event_matrix,event_or_candidate_matrix,0.8603206822894904,0.8554707600911584,0.058840743739759005,0.06275090888529733,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_ridge_or_sgd,all_allowed_phase6a0,800.0,ALL,690088,0.4424600824713707,0.8690849705915304,0.8638774759981767,0.14910579908865781,0.09694531028170096,0.9776715122080117,0.9766583435841132,0.058679543189722363,1.0526173271968173,-0.030087773075747337,0.8335348233209989,non_definitive_event_matrix,event_or_candidate_matrix,0.8690849705915304,0.8638774759981767,0.06591116225847893,0.06737839787106925,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_ridge_or_sgd,all_allowed_phase6a0,1500.0,ALL,690088,0.4424600824713707,0.8788920342951969,0.876722666142334,0.1256064926909834,0.08609392998568033,0.9776715122080117,0.9766583435841132,0.058679543189722363,1.0952840371054648,-0.04770809321159067,0.840135674459211,non_definitive_event_matrix,event_or_candidate_matrix,0.8788920342951969,0.876722666142334,0.0732890393135488,0.0696954933026045,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_ridge_or_sgd,all_allowed_phase6a0,3000.0,ALL,690088,0.4424600824713707,0.884640719677829,0.8826054459618329,0.10615024612147829,0.07589171920028293,0.9776715122080117,0.9766583435841132,0.058679543189722363,1.1198315712662352,-0.054810247152378214,0.8411927441798807,non_definitive_event_matrix,event_or_candidate_matrix,0.884640719677829,0.8826054459618329,0.07092311975899157,0.06364546004880656,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_ridge_or_sgd,all_allowed_phase6a0,5000.0,ALL,690088,0.4424600824713707,0.8874306350648333,0.8760648275579566,0.09567750020005475,0.06958938565952177,0.9776715122080117,0.9766583435841132,0.058679543189722363,1.1267410764870123,-0.052609539032085026,0.844062204058341,non_definitive_event_matrix,event_or_candidate_matrix,0.8874306350648333,0.8760648275579566,0.06545189803303453,0.053814017447687545,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_logistic_l2_balanced,top_k_train_only_50,200.0,ALL,690088,0.4424600824713707,0.8428637032956579,0.8305236515141479,0.2164196640685252,0.14991960160643697,0.975659744909166,0.9754998275101692,0.06985892465976191,1.0696460213248187,-0.03320873018240128,0.8112446564388776,non_definitive_event_matrix,event_or_candidate_matrix,0.8428637032956579,0.8305236515141479,0.043461622148045276,0.07401096585797295,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_logistic_l2_balanced,top_k_train_only_50,500.0,ALL,690088,0.4424600824713707,0.8489885981851177,0.8469102525864598,0.17640877992864626,0.12981237636992932,0.975659744909166,0.9754998275101692,0.06985892465976191,1.089932904630926,-0.04055318428610707,0.8321024586870248,non_definitive_event_matrix,event_or_candidate_matrix,0.8489885981851177,0.8469102525864598,0.0495018142474557,0.0651632864697822,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_logistic_l2_balanced,top_k_train_only_50,800.0,ALL,690088,0.4424600824713707,0.8588631527244032,0.855912809811042,0.15565921882966294,0.11598344713225606,0.975659744909166,0.9754998275101692,0.06985892465976191,1.1261322559817946,-0.058636933420166626,0.8298130264117658,non_definitive_event_matrix,event_or_candidate_matrix,0.8588631527244032,0.855912809811042,0.05748343632585673,0.06091600053515667,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_logistic_l2_balanced,top_k_train_only_50,1500.0,ALL,690088,0.4424600824713707,0.8727973619385305,0.8729722577461959,0.13167918717173552,0.09853110783014646,0.975659744909166,0.9754998275101692,0.06985892465976191,1.1785518792171499,-0.08448407312828844,0.8349835966001704,non_definitive_event_matrix,event_or_candidate_matrix,0.8727973619385305,0.8729722577461959,0.06590305793046736,0.06143516218715761,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,sklearn_logistic_l2_balanced,top_k_train_only_50,3000.0,ALL,690088,0.4424600824713707,0.8784787789328838,0.8782487067965381,0.11109002602646258,0.08323298290831714,0.975659744909166,0.9754998275101692,0.06985892465976191,1.2066851787037178,-0.09273077388114304,0.8367596603301001,non_definitive_event_matrix,event_or_candidate_matrix,0.8784787789328838,0.8782487067965381,0.07585445512483391,0.06342328521360086,20,20,0,0,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
