model_name,feature_set_name,validation_mode,tau_ms,median_pearson,median_spearman,beta_baseline_median_pearson,delta_vs_beta,delta_vs_shuffled,delta_vs_class_prior,architecture_value_interpretation
numpy_ridge_fallback,compact_deployable,within_subject_block_or_time_calibrated,5000.0,0.21142582143543082,0.16413044028440854,0.24895377602932373,-0.03752795459389291,,,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,top_k_train_only_50,within_subject_block_or_time_calibrated,200.0,0.5456370967017573,0.5323889531411492,0.24674543708139307,0.29889165962036424,,,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_50,within_subject_block_or_time_calibrated,500.0,0.5753053535125834,0.5224223455421351,0.2568606875297139,0.31844466598286947,,,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_50,within_subject_block_or_time_calibrated,800.0,0.6025276098297033,0.540472392750729,0.26139003014100537,0.34113757968869796,,,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_50,within_subject_block_or_time_calibrated,1500.0,0.633386271610552,0.5667405122114145,0.2555532324106971,0.37783303919985495,,,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_50,within_subject_block_or_time_calibrated,3000.0,0.6634693402334967,0.58683703078257,0.24479164576776302,0.41867769446573366,,,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_50,within_subject_block_or_time_calibrated,5000.0,0.6851554675673475,0.6024133079577578,0.24895377602932373,0.43620169153802374,,,meaningful deployable-model improvement over beta baseline
beta_feature_baseline,beta_like,within_subject_block_or_time_calibrated,200.0,0.24674543708139307,0.2112227066048848,0.24674543708139307,0.0,,,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,within_subject_block_or_time_calibrated,500.0,0.2568606875297139,0.2180829113213236,0.2568606875297139,0.0,,,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,within_subject_block_or_time_calibrated,800.0,0.26139003014100537,0.22319934157431603,0.26139003014100537,0.0,,,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,within_subject_block_or_time_calibrated,1500.0,0.2555532324106971,0.21010490100190204,0.2555532324106971,0.0,,,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,within_subject_block_or_time_calibrated,3000.0,0.24479164576776302,0.19077900281398252,0.24479164576776302,0.0,,,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,within_subject_block_or_time_calibrated,5000.0,0.24895377602932373,0.1767044961292284,0.24895377602932373,0.0,,,architecture not justified beyond simple beta baseline
sklearn_gradient_boosting_ceiling,top_k_train_only_25,within_subject_block_or_time_calibrated,200.0,0.6273310383348424,0.6068107290618845,0.24674543708139307,0.3805856012534493,,,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,within_subject_block_or_time_calibrated,500.0,0.6472254592531077,0.5931304219905564,0.2568606875297139,0.3903647717233938,,,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,within_subject_block_or_time_calibrated,800.0,0.663217474882057,0.5971438008174927,0.26139003014100537,0.4018274447410516,,,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,within_subject_block_or_time_calibrated,1500.0,0.6819005067694631,0.606139829929646,0.2555532324106971,0.426347274358766,,,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,within_subject_block_or_time_calibrated,3000.0,0.6977640177751345,0.6179885114707779,0.24479164576776302,0.4529723720073715,,,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,within_subject_block_or_time_calibrated,5000.0,0.7123009509806877,0.645771009412702,0.24895377602932373,0.46334717495136396,,,meaningful high-capacity improvement; not deployable by itself
oracle_descriptive_subject_fit,top_k_train_only_50,oracle_descriptive,200.0,0.8108013159340042,0.7990551884398063,,,,,not assessable
oracle_descriptive_subject_fit,top_k_train_only_50,oracle_descriptive,500.0,0.8252086431303172,0.8258823451623265,,,,,not assessable
oracle_descriptive_subject_fit,top_k_train_only_50,oracle_descriptive,800.0,0.8440446303142789,0.8433190235311978,,,,,not assessable
oracle_descriptive_subject_fit,top_k_train_only_50,oracle_descriptive,1500.0,0.8696620686310459,0.8714202097692427,,,,,not assessable
oracle_descriptive_subject_fit,top_k_train_only_50,oracle_descriptive,3000.0,0.8897922965705336,0.8899113370603238,,,,,not assessable
oracle_descriptive_subject_fit,top_k_train_only_50,oracle_descriptive,5000.0,0.8961740633816817,0.8973748088893959,,,,,not assessable
