row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-8RgPiG,43690,0.44419774413108826,0.009438764276935218,0.007624124439472607,0.35713953042488933,0.31414030775389734,0.5,0.44419775692378116,0.24688628613195093,0.3501390697716212,0.31592639736329464,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-AB2PeX,42042,0.45590123534202576,0.02661647375907684,-0.02089445959590087,0.3259004356952813,0.28218631755611284,0.5,0.4559012416155273,0.24822123930380965,0.6368593893696481,0.19634013600524378,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-AbzsOg,50023,0.5014293193817139,0.029607845427948535,0.001449260070776432,0.32872473277208647,0.2820730550684294,0.5,0.5014293425024489,0.25385792692377646,0.7311256232021826,0.20179646501303936,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-BYJoWR,33587,0.4076577126979828,0.03184299743241745,0.03131442374288577,0.32022365837973155,0.27741810095122177,0.5,0.40765772471491946,0.24291658752528664,0.8721158208434112,0.04741326305087441,0.5030071195457376,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-FIyfdR,25355,0.4698481559753418,0.023677247878982045,0.01067770047530706,0.3155009567740672,0.27111599815940834,0.5,0.4698481561822126,0.24982188152314097,0.569177074703988,0.23381562801425695,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-FYbcap,34794,0.435506135225296,0.02243035642151224,-0.005447829734176292,0.32493325674733325,0.2828078762498265,0.5,0.4355061217451285,0.24591690524194557,0.5356383650974669,0.22083331309330229,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-PuPVlx,47375,0.4629656970500946,0.03157452486640386,0.029987315137100123,0.31997026741972956,0.2756888269782978,0.5,0.46296569920844327,0.2490517429141772,0.7941482060018616,0.13129038784148203,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-QZTsn6,35177,0.4611251652240753,0.036337573252383036,0.022571596523548173,0.3256059269541498,0.2829633063421459,0.5,0.4611251670125366,0.2488218551962692,0.8241787994227678,0.115853418832978,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-VopvKx,37492,0.45777764916419983,0.042892615999345886,0.02838850025459162,0.30988706566262253,0.26574627463003625,0.5,0.4577776592339699,0.24843560944519047,0.9997892479389572,0.038615354237468105,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-dCsWjQ,19124,0.5104580521583557,0.03974528889633667,0.012882238213923472,0.34436341461906866,0.29925317542228264,0.5,0.5104580631667015,0.2545902219633173,1.0735167242826902,0.057542294166677756,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
