n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	fp_per_min_target	threshold	threshold_selection_mode	n_loso_folds	n_no_feasible_folds	per_subject_recall_median	per_subject_recall_iqr	per_subject_recall_min	per_subject_recall_max	analysis_subtask	tier	scoring_definition	scoring_family	start_offset_s	stop_reference	stop_offset_s	committed_alarm_success_policy	metric_induced_or_score_induced	interpretation	selection_loso_safe	support_status	qc_status	qc_reason	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	target_fp_min	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
102088	11235	7693	7888	3347	0.07535655512890839	0.7020916777926124	0.13610477966953585	0.529121035949535	149.99999999997726	-275.2499999999998	0.07344643836689915	0.11005211190345585	0.5	0.8980392156862745	train_subjects_only_per_LOSO_fold	20	0.0	0.03585243140141852	0.06604277396853106	0.0	0.6376881981544439	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	20644	13807	14205	6439	0.13524606222082908	0.6880933927533424	0.22605966772958622	1.0179295938090995	149.99999999997726	-278.5000000000082	0.13134746493221533	0.2022176945380456	1.0	0.796078431372549	train_subjects_only_per_LOSO_fold	20	0.0	0.11442616970696051	0.10699906705832163	0.0005471207769115032	0.6930548810101991	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	36358	23672	24386	11972	0.23187837943734818	0.6707189614390231	0.3446170707424767	1.892631324286774	149.99999999997726	-288.75000000001626	0.22488441344722201	0.3561437191442677	2.0	0.7098039215686275	train_subjects_only_per_LOSO_fold	20	0.0	0.2377179044333183	0.12520713703211828	0.010258514567090685	0.74356483729966	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	77301	45814	47606	29695	0.44876968889585456	0.615852317563809	0.5191999625819739	4.694427595614413	149.99999999997726	-296.0000000000207	0.4312162056265183	0.7571996708721886	5.0	0.611764705882353	train_subjects_only_per_LOSO_fold	20	0.0	0.4688880975741302	0.11281935278728716	0.1391054575297497	0.8222438076736279	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	20237	15323	16857	3380	0.15009599561162917	0.8329791965212235	0.2543586550167606	0.5343379448788254	149.99999999997726	-278.7500000000023	0.13475628869210876	0.1982309380142622	0.5	1.8350793844875213	train_subjects_only_per_LOSO_fold	20	0.0	0.12021063350723543	0.11568544735289206	0.0010942415538230065	0.7955318115590092	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	33987	25041	27712	6275	0.24528837865371053	0.8153705828699208	0.377125797319043	0.9920031373120204	149.99999999997726	-289.74999999999795	0.21938915445498003	0.33291865841235013	1.0	1.465194085846606	train_subjects_only_per_LOSO_fold	20	0.0	0.24867281415167738	0.12721742925832735	0.011352756120913693	0.8421563865954347	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	54803	38194	42845	11958	0.37412820311887784	0.7818002664087732	0.506075482315781	1.89041809019556	149.99999999997726	-292.2499999999886	0.329010265653162	0.5368211738891936	2.0	1.1282838586373554	train_subjects_only_per_LOSO_fold	20	0.0	0.39915123975900013	0.14423589599457598	0.03515250991656408	0.8732394366197183	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	104579	64001	74873	29706	0.6269199122325837	0.7159467962019144	0.6684822846808955	4.69616656525751	149.99999999997726	-301.0000000000659	0.5213247394404827	1.0244005172008464	5.0	0.7216378494062482	train_subjects_only_per_LOSO_fold	20	0.0	0.6548054825872545	0.1154746192640076	0.32758856517576257	0.9164643030597377	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	19994	15146	16671	3323	0.14836219731995925	0.8338001400420126	0.2519021880529145	0.5253269203645966	149.99999999997726	-281.2500000000213	0.1331400360473317	0.19585063866468144	0.5	0.803921568627451	train_subjects_only_per_LOSO_fold	20	0.0	0.122700020995167	0.11522829700868133	0.0010942415538230065	0.7969888295288975	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	34088	25100	27784	6304	0.2458663114176005	0.8150668857075803	0.3777758850238119	0.9965876936438209	149.99999999997726	-288.00000000002865	0.21984954157197711	0.33390800094036516	1.0	0.7215686274509804	train_subjects_only_per_LOSO_fold	20	0.0	0.24867281415167738	0.1271401375594558	0.012036657092053071	0.8431277319086935	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	53910	37512	42105	11805	0.3674476921871327	0.7810239287701725	0.4997693193852043	1.8662306033415776	149.99999999997726	-292.50000000000045	0.3228978920147324	0.5280738186662487	2.0	0.6588235294117647	train_subjects_only_per_LOSO_fold	20	0.0	0.38314633204238935	0.17276088822146596	0.04718916700861715	0.8746964545896067	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm400ms	onset_tolerance	-0.4	onset	0.4	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
